author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Наталья Зарубицкая;realtor;https://www.cian.ru/sale/flat/315547991/;Москва;sale;flat;9;21;1;42.0;17300000;Бутырский; Яблочкова;16;Тимирязевская;
Welcome 24;real_estate_agent;https://www.cian.ru/sale/flat/315547796/;Москва;sale;flat;12;13;2;41.6;33500000;Беговой;Ленинградский проспект;29к4;Динамо;Царская площадь
ID 93711831;homeowner;https://www.cian.ru/sale/flat/315546780/;Москва;sale;flat;5;17;1;38.1;13000000;Митино;Митинская ;33К2;Митино;
ID 125595;unknown;https://www.cian.ru/sale/flat/315546188/;Москва;sale;flat;7;22;2;51.5;12700000;Южное Бутово; Академика Понтрягина;11к1;Бунинская аллея;
Агентство недвижимости Елены Кузнецовой;real_estate_agent;https://www.cian.ru/sale/flat/315546058/;Москва;sale;flat;21;56;2;67.0;40300000;Тимирязевский;Дмитровский проезд;1;Дмитровская;D1
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/315545706/;Москва;sale;flat;4;26;2;55.5;;Соколиная гора;;;Соколиная гора;Семеновский Парк 2 ЖК
ID 127068326;realtor;https://www.cian.ru/sale/flat/315545538/;Москва;sale;flat;11;52;2;51.0;26600000;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
Прайм Самолет Плюс;real_estate_agent;https://www.cian.ru/sale/flat/315545135/;Москва;sale;flat;10;34;1;36.0;19800000;Войковский; Адмирала Макарова;6Ак1;Водный стадион;Невский
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315545087/;Москва;sale;flat;10;14;1;38.2;11999000;; Александры Монаховой;5к3;Коммунарка;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315545034/;Москва;sale;flat;5;14;2;55.1;17500000;Можайский; Гришина;2К1;Рабочий посёлок;
ID 11468222;homeowner;https://www.cian.ru/sale/flat/315545031/;Москва;sale;flat;6;34;2;35.3;25000000;Войковский; Адмирала Макарова;6Ак1;Водный стадион;Невский
Эльвира Ануварова;realtor;https://www.cian.ru/sale/flat/315544855/;Москва;sale;flat;21;26;2;64.25;59910972;Пресненский;к2.1;к2.1;Белорусская;Репаблик ЖК
БЕСТ на Октябрьской;real_estate_agent;https://www.cian.ru/sale/flat/315544501/;Москва;sale;flat;20;24;2;77.7;21350000;Выхино-Жулебино;Привольная ;56;Жулебино;Приволье
ВСЕ НАЧИНАЕТСЯ С МЕЧТЫ;real_estate_agent;https://www.cian.ru/sale/flat/315543880/;Москва;sale;flat;2;6;2;15.0;17000000;Хорошевский;2-й Хорошевский проезд;9К1;Беговая;
МЕЗОН;real_estate_agent;https://www.cian.ru/sale/flat/315543346/;Москва;sale;flat;3;14;1;40.3;18000000;Люблино;Совхозная ;37;Люблино;
Оксана Енилина;realtor;https://www.cian.ru/sale/flat/315543326/;Москва;sale;flat;4;25;1;35.0;14500000;; Анны Ахматовой;11к3;Рассказовка;Городские истории (Рассказовка)
ID 54212813;unknown;https://www.cian.ru/sale/flat/315543299/;Москва;sale;flat;2;17;2;53.0;12500000;Некрасовка; Недорубова;27;Некрасовка;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315543151/;Москва;sale;flat;3;11;1;46.0;14990000;Бирюлево Восточное;6-я Радиальная ;3к9;Каспийская;Царицыно
