author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315315789/;Москва;sale;flat;7;17;2;58.0;23700000;Кунцево;Молодогвардейская ;20А;Молодёжная;
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/315315632/;Москва;sale;flat;3;16;1;34.6;14990000;Щукино; Маршала Мерецкова;2;Октябрьское поле;
Дмитрий Казаченко;realtor;https://www.cian.ru/sale/flat/315315554/;Москва;sale;flat;8;14;2;53.0;17500000;Ново-Переделкино; Шолохова;28;Новопеределкино;
El Barco Estate;real_estate_agent;https://www.cian.ru/sale/flat/315315238/;Москва;sale;flat;8;25;2;87.0;31500000;Тропарево-Никулино;проспект Вернадского;вл78;Юго-Западная;Академ-Палас
THE ONE;real_estate_agent;https://www.cian.ru/sale/flat/315314916/;Москва;sale;flat;5;20;2;75.1;35400000;Лефортово; Крузенштерна;4;Площадь Ильича;Символ
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315314426/;Москва;sale;flat;2;25;2;57.6;32000000;Кунцево;Ельнинская ;14К2;Молодёжная;
ID 129137785;homeowner;https://www.cian.ru/sale/flat/315313971/;Москва;sale;flat;4;17;1;39.5;10500000;Некрасовка; Липчанского;6;Некрасовка;Некрасовка
Александр Лозин;realtor;https://www.cian.ru/sale/flat/315313968/;Москва;sale;flat;18;33;1;32.2;13300000;Нижегородский;Перовское шоссе;2к2;Нижегородская;Перовское 2
ID 575915;realtor;https://www.cian.ru/sale/flat/315313929/;Москва;sale;flat;16;23;2;49.0;22000000;Раменки;Мичуринский проспект;13;Раменки;
Неон Сити;real_estate_agent;https://www.cian.ru/sale/flat/315313464/;Москва;sale;flat;3;17;1;36.7;11100000;Митино;переулок Ангелов;6;Пятницкое шоссе;
ID 27185112;homeowner;https://www.cian.ru/sale/flat/315313272/;Москва;sale;flat;14;16;1;40.2;14000000;Южное Бутово; Поляны;5Ак1;Улица Скобелевская;Столичные поляны
BSK estate planning;real_estate_agent;https://www.cian.ru/sale/flat/315313048/;Москва;sale;flat;10;17;1;38.6;10200000;Некрасовка; Сочинская;5;Некрасовка;
Ольга Шевелева;realtor;https://www.cian.ru/sale/flat/315312616/;Москва;sale;flat;5;25;1;48.1;14500000;Печатники; Гурьянова;19К1;Печатники;
ID 233886;realtor;https://www.cian.ru/sale/flat/315312612/;Москва;sale;flat;16;19;2;55.6;13500000;Некрасовка;Рождественская ;16;Некрасовка;
Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/315312601/;Москва;sale;flat;9;9;1;46.5;12700000;; Сосенский Стан;3;Коммунарка;
Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/315312598/;Москва;sale;flat;13;19;2;54.9;16900000;Ховрино;Левобережная ;4к8;Ховрино;
ID 20956373;homeowner;https://www.cian.ru/sale/flat/315312448/;Москва;sale;flat;10;22;2;58.7;15990000;Москворечье-Сабурово;Пролетарский проспект;1;Каширская;
ID 6950614;realtor;https://www.cian.ru/sale/flat/315312424/;Москва;sale;flat;11;22;2;58.0;17000000;Северный;Челобитьевское шоссе;12к5;Физтех;
ID 21721;realtor;https://www.cian.ru/sale/flat/315312373/;Москва;sale;flat;14;15;1;46.6;10400000;Некрасовка; Вертолетчиков;2к2;Некрасовка;
ID 123484283;homeowner;https://www.cian.ru/sale/flat/315312314/;Москва;sale;flat;22;23;2;60.2;26300000;Левобережный;Беломорская ;18Ак1;Беломорская;Белый парк
Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/315311559/;Москва;sale;flat;12;16;1;36.0;11700000;Царицыно;Бакинская ;25;Царицыно;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315311547/;Москва;sale;flat;7;17;2;58.0;23800000;Кунцево;Молодогвардейская ;20А;Молодёжная;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/315311368/;Москва;sale;flat;10;17;2;79.58;21500000;;;20А;Коммунарка;
ID 12707689;homeowner;https://www.cian.ru/sale/flat/315311339/;Москва;sale;flat;11;18;2;59.0;19900000;Зябликово;Ореховый проезд;41к1;Домодедовская;
ID 111000786;homeowner;https://www.cian.ru/sale/flat/315311200/;Москва;sale;flat;6;16;2;62.7;27000000;Левобережный;Ленинградское шоссе;124к3;Беломорская;
CENTURY 21 Верос;real_estate_agent;https://www.cian.ru/sale/flat/315311197/;Москва;sale;flat;9;14;1;35.6;9800000;; 1-я Ватутинская;14к1;Ватутинки;Russian Design District
ID 88430892;realtor;https://www.cian.ru/sale/flat/315311184/;Москва;sale;flat;24;49;2;55.0;24000000;Покровское-Стрешнево;Волоколамское шоссе;95/1к8;Трикотажная;City Bay
Сергей Зилотов;realtor;https://www.cian.ru/sale/flat/315311015/;Москва;sale;flat;5;14;2;55.0;15700000;Северный;Долгопрудная аллея;15к4;Долгопрудная;Мой адрес в Северном
ID 106375908;homeowner;https://www.cian.ru/sale/flat/315310959/;Москва;sale;flat;2;10;1;37.9;22990000;Кунцево; Академика Павлова;28;Молодёжная;Академика Павлова
ID 277286;realtor;https://www.cian.ru/sale/flat/315310911/;Москва;sale;flat;16;17;2;51.1;16000000;; Самуила Маршака;8;Рассказовка;Переделкино Ближнее Город-парк
Capital Mars;real_estate_agent;https://www.cian.ru/sale/flat/315310447/;Москва;sale;flat;16;51;2;43.0;22000000;Пресненский;Шмитовский проезд;39к8;Москва-Сити;Headliner
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315310404/;Москва;sale;flat;7;15;2;57.0;20000000;; Саларьевская;10к2;Саларьево;Саларьево парк
ID 129137060;homeowner;https://www.cian.ru/sale/flat/315310307/;Москва;sale;flat;10;25;1;46.3;15800000;Чертаново Южное;Варшавское шоссе;141к10;Улица Академика Янгеля;Варшавское шоссе 141
Инна Дударева;realtor;https://www.cian.ru/sale/flat/315310016/;Москва;sale;flat;2;31;1;41.9;24000000;Раменки; Лобачевского;120к1;Аминьевская;Крылья
ID 1068400;unknown;https://www.cian.ru/sale/flat/315309250/;Москва;sale;flat;4;30;2;69.0;45000000;Раменки; Василия Ланового;3;Аминьевская;Событие
Алексей Цветков;realtor;https://www.cian.ru/sale/flat/315308803/;Москва;sale;flat;7;33;1;39.9;15600000;Гольяново;Амурская ;2Ак3;Черкизовская;Амурский парк
ID 14925;realtor;https://www.cian.ru/sale/flat/315308787/;Москва;sale;flat;16;36;2;52.9;25500000;Пресненский;Мукомольный проезд;2;Москва-Сити;
ID 20435;realtor;https://www.cian.ru/sale/flat/315308760/;Москва;sale;flat;4;19;1;38.0;13500000;; Бориса Пастернака;17;Рассказовка;Переделкино Ближнее Город-парк
ID 26578;realtor;https://www.cian.ru/sale/flat/315308638/;Москва;sale;flat;13;15;2;59.0;13100000;; 40 лет Октября;15/1;Щербинка;Калипсо
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315308163/;Москва;sale;flat;11;15;1;32.4;16500000;Северное Медведково;Заревый проезд;9;Медведково;
ID 11199234;realtor;https://www.cian.ru/sale/flat/315308162/;Москва;sale;flat;9;11;1;38.1;23400000;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
Майя Борисовна Мальсагова;realtor;https://www.cian.ru/sale/flat/315308142/;Москва;sale;flat;6;9;1;38.8;10500000;Южное Бутово; Адмирала Лазарева;38;Улица Горчакова;
Rielt Moscow1147;real_estate_agent;https://www.cian.ru/sale/flat/315308132/;Москва;sale;flat;21;57;1;37.0;17500000;Хорошево-Мневники;;;Хорошёво;Джойс ЖК
ID 637838;realtor;https://www.cian.ru/sale/flat/315308056/;Москва;sale;flat;2;9;2;59.0;25400000;Ломоносовский; Архитектора Власова;10;Профсоюзная;
ID 44543115;realtor;https://www.cian.ru/sale/flat/315307958/;Москва;sale;flat;3;7;2;58.2;26500000;Басманный;Большая Почтовая ;16;Бауманская;
ID 70306698;realtor;https://www.cian.ru/sale/flat/315307765/;Москва;sale;flat;5;17;1;35.1;17800000;Покровское-Стрешнево;Летная ;95Бк2;Спартак;ÁLIA
ID 8075034;homeowner;https://www.cian.ru/sale/flat/315307748/;Москва;sale;flat;8;32;2;62.4;21050000;Очаково-Матвеевское;;4.5;Озёрная;Мичуринский Парк ЖК
Элитный Дом;real_estate_agent;https://www.cian.ru/sale/flat/315307537/;Москва;sale;flat;9;30;1;41.0;21000000;Южнопортовый;Волгоградский проспект;32/5к1;Угрешская;Метрополия
ID 72472760;homeowner;https://www.cian.ru/sale/flat/315306984/;Москва;sale;flat;8;23;2;61.0;19600000;Кузьминки;Волгоградский проспект;103А;Кузьминки;
ID 126892052;homeowner;https://www.cian.ru/sale/flat/315306603/;Москва;sale;flat;7;17;2;58.0;23200000;Кунцево;Молодогвардейская ;20А;Молодёжная;
ID 44150300;homeowner;https://www.cian.ru/sale/flat/315305618/;Москва;sale;flat;21;22;2;57.9;24100000;Фили-Давыдково;Малая Филевская ;22;Пионерская;
ID 111880584;homeowner;https://www.cian.ru/sale/flat/315305560/;Москва;sale;flat;2;17;2;53.3;16800000;Северное Измайлово;13-я Парковая ;28К2;Щёлковская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315305165/;Москва;sale;flat;10;20;1;41.9;15000000;; Анны Ахматовой;20;Рассказовка;Переделкино Ближнее Город-парк
ID 98028533;homeowner;https://www.cian.ru/sale/flat/315304612/;Москва;sale;flat;28;28;2;50.6;23000000;Москворечье-Сабурово;Каширский проезд;25к2;Варшавская;LIFE Варшавская
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315303957/;Москва;sale;flat;28;28;2;77.1;37900000;Хорошево-Мневники; Шеногина;2;Шелепиха;Сердце Столицы
ID 23832523;homeowner;https://www.cian.ru/sale/flat/315303323/;Москва;sale;flat;2;16;1;34.0;12500000;Солнцево; Юлиана Семенова;8к1;Солнцево;Лучи
ID 106403623;unknown;https://www.cian.ru/sale/flat/315302922/;Москва;sale;flat;5;12;1;38.7;8990000;; Потаповская Роща;26к2;Потапово;Белые ночи
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315300607/;Москва;sale;flat;2;26;2;42.7;18900000;Головинский;Кронштадтский бульвар;6к1;Водный стадион;Водный
ID 71062;homeowner;https://www.cian.ru/sale/flat/315296918/;Москва;sale;flat;10;27;2;52.0;26990000;Алексеевский;Староалексеевская ;5А;Алексеевская;Лайм
СМАРЕНТ;real_estate_agent;https://www.cian.ru/sale/flat/315292747/;Москва;sale;flat;5;9;2;36.8;17800000;Очаково-Матвеевское;Озерная ;42С7;Озёрная;Страна.Озёрная
Александра Андреева;realtor;https://www.cian.ru/sale/flat/315291634/;Москва;sale;flat;8;13;2;56.0;15100000;Косино-Ухтомский;Каскадная ;20Ак1;Улица Дмитриевского;
ID 13528747;realtor;https://www.cian.ru/sale/flat/315291572/;Москва;sale;flat;2;17;2;63.4;12000000;; 40 лет Октября;15/1;Щербинка;Калипсо
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315291449/;Москва;sale;flat;32;39;2;69.5;28000000;Гольяново;Амурская ;1Ак5;Черкизовская;Level Амурская
Полина Калужская;realtor;https://www.cian.ru/sale/flat/315291385/;Москва;sale;flat;1;14;1;39.0;11500000;Текстильщики; Чистова;10К1;Печатники;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315291328/;Москва;sale;flat;5;8;2;51.0;22900000;Тимирязевский;Тимирязевская ;8к2;Дмитровская;
Арбат;real_estate_agent;https://www.cian.ru/sale/flat/315290753/;Москва;sale;flat;4;17;1;38.0;14500000;;проспект Прокшинский;12;Прокшино;Прокшино
ID 83303719;unknown;https://www.cian.ru/sale/flat/315290752/;Москва;sale;flat;6;17;2;54.4;21000000;Строгино; Твардовского;4К3;Строгино;
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/sale/flat/315290598/;Москва;sale;flat;3;19;1;35.6;16700000;Красносельский;Малый Краснопрудный тупик;2;Красносельская;
ID 61717575;unknown;https://www.cian.ru/sale/flat/315290408/;Москва;sale;flat;18;21;1;33.0;13600000;Солнцево;Производственная ;4А;Солнцево;Лучи
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315290395/;Москва;sale;flat;9;14;1;37.8;10199999;Косино-Ухтомский; Рудневка;25;Улица Дмитриевского;
ID 50901653;realtor;https://www.cian.ru/sale/flat/315289786/;Москва;sale;flat;9;16;2;54.9;15200000;Косино-Ухтомский; Татьяны Макаровой;4;Лухмановская;
Haston Development;real_estate_agent;https://www.cian.ru/sale/flat/315289752/;Москва;sale;flat;4;9;2;58.0;37000000;Войковский; Космонавта Волкова;5Б;Войковская;Исток
Realty Pro Invest;real_estate_agent;https://www.cian.ru/sale/flat/315289634/;Москва;sale;flat;29;34;2;60.1;28400000;Обручевский;;;Калужская;Эвер ЖК
Realty Pro Invest;real_estate_agent;https://www.cian.ru/sale/flat/315289493/;Москва;sale;flat;15;44;2;61.32;32500000;Марьина роща; 4-я Марьиной рощи;12К3;Марьина Роща;Mod
Realty Pro Invest;real_estate_agent;https://www.cian.ru/sale/flat/315289368/;Москва;sale;flat;4;26;1;49.37;38500000;Пресненский;к2.1;к2.1;Белорусская;Репаблик ЖК
Realty Pro Invest;real_estate_agent;https://www.cian.ru/sale/flat/315288944/;Москва;sale;flat;7;23;1;49.3;22700000;Ростокино;;к6;Ботанический сад;Союз ЖК
Rielt Moscow1147;real_estate_agent;https://www.cian.ru/sale/flat/315288669/;Москва;sale;flat;29;33;1;43.0;29500000;Пресненский; Пресненский Вал;27С6;Белорусская;Republic
GOLDEN CITY;real_estate_agent;https://www.cian.ru/sale/flat/315287190/;Москва;sale;flat;2;24;2;52.5;13700000;Северный;9-я Северная линия;25к3;Физтех;
Диалог;real_estate_agent;https://www.cian.ru/sale/flat/315286574/;Москва;sale;flat;5;17;1;33.4;10500000;; Александры Монаховой;87к3;Потапово;Бунинские луга
ID 128290731;homeowner;https://www.cian.ru/sale/flat/315286550/;Москва;sale;flat;13;17;1;37.9;14000000;Отрадное;Юрловский проезд;14к1;Бибирево;Юрлово
CENTURY 21 Milestone;real_estate_agent;https://www.cian.ru/sale/flat/315286319/;Москва;sale;flat;15;17;2;53.6;14700000;Чертаново Южное;Варшавское шоссе;152К8;Улица Академика Янгеля;
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/315286310/;Москва;sale;flat;11;15;1;40.5;33000000;Раменки;Винницкая ;8к3;Раменки;Настоящее
ID 128269908;homeowner;https://www.cian.ru/sale/flat/315285981/;Москва;sale;flat;8;33;1;33.5;14990000;Очаково-Матвеевское;Очаково мкр;2к3;Аминьевская;Большая Очаковская 2 ЖК
СЕДЬМОЕ НЕБО;real_estate_agent;https://www.cian.ru/sale/flat/315285405/;Москва;sale;flat;10;14;2;54.0;22000000;Марфино;Большая Марфинская ;4к4;Фонвизинская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315285327/;Москва;sale;flat;7;11;1;45.1;15500000;; Сосенский Стан;5;Коммунарка;
ID 129103044;homeowner;https://www.cian.ru/sale/flat/315285317/;Москва;sale;flat;11;17;2;51.0;14250000;Марьино;Луговой проезд;12К2;Марьино;
Александр Иванов;realtor;https://www.cian.ru/sale/flat/315285302/;Москва;sale;flat;15;20;2;57.0;35000000;Филевский парк;Большая Филевская ;3к4;Фили;Западный порт
Каскад;real_estate_agent;https://www.cian.ru/sale/flat/315284869/;Москва;sale;flat;2;12;1;50.0;25000000;Преображенское; 2-я Бухвостова;7к1;Преображенская площадь;
Татьяна Ярославцева;realtor;https://www.cian.ru/sale/flat/315284670/;Москва;sale;flat;28;33;1;32.3;12000000;Очаково-Матвеевское;проезд Стройкомбината;1;Очаково;Новое Очаково
ID 126320978;homeowner;https://www.cian.ru/sale/flat/315284560/;Москва;sale;flat;15;21;2;43.0;34000000;Хорошевский;Хорошевское шоссе;25Ак3;Хорошёвская;Династия
ID 112268923;homeowner;https://www.cian.ru/sale/flat/315284481/;Москва;sale;flat;8;19;2;64.0;29900000;Рязанский;2-й Грайвороновский проезд;44к2;Стахановская;Кварталы 21/19
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315284457/;Москва;sale;flat;22;37;1;29.0;17490000;Раменки;Мосфильмовская ;98к2;Аминьевская;Огни
Регина Минеева;realtor;https://www.cian.ru/sale/flat/315283809/;Москва;sale;flat;13;17;1;38.2;12500000;Солнцево; Главмосстроя;5;Говорово;
CENTURY 21 Перспектива;real_estate_agent;https://www.cian.ru/sale/flat/315283643/;Москва;sale;flat;9;17;2;54.4;11550000;Некрасовка;Рождественская ;21к6;Некрасовка;
ID 70481728;unknown;https://www.cian.ru/sale/flat/315283618/;Москва;sale;flat;12;18;1;35.0;11100000;Гольяново;Байкальская ;18к4;Щёлковская;
ID 118845127;homeowner;https://www.cian.ru/sale/flat/315283600/;Москва;sale;flat;20;20;2;58.7;25500000;Раменки;Мичуринский проспект;9К1;Раменки;
Наталия Воронцова;realtor;https://www.cian.ru/sale/flat/315283498/;Москва;sale;flat;6;9;1;47.1;20000000;; Татьянин Парк;14к4;Говорово;Татьянин Парк
Метриум Премиум - отдел вторичной недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/315282896/;Москва;sale;flat;5;31;1;31.9;15700000;Ховрино;Беломорская ;23к5;Беломорская;Discovery
А.С.К. НЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/315282444/;Москва;sale;flat;11;14;2;50.1;12990000;Крюково;Зеленоград;к1539;Зеленоград — Крюково;
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315282292/;Москва;sale;flat;31;33;2;56.1;24500000;Филевский парк;;к6;Фили;Барклая 6 ЖК
Alfa Forum Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/315282279/;Москва;sale;flat;4;17;1;36.5;17000000;Таганский;Большая Калитниковская ;42А;Калитники;на Калитниковской
Акрополь;real_estate_agent;https://www.cian.ru/sale/flat/315281552/;Москва;sale;flat;15;29;1;40.0;19800000;Очаково-Матвеевское;Аминьевское шоссе;4Дк3литВ;Аминьевская;Вестердам
Level Group;developer;https://www.cian.ru/sale/flat/315281384/;Москва;sale;flat;32;49;2;49.6;;Печатники;Южнопортовая ;28АС17;Кожуховская;Level Южнопортовая
Level Group;developer;https://www.cian.ru/sale/flat/315281381/;Москва;sale;flat;2;49;2;52.4;;Печатники;Южнопортовая ;28АС17;Кожуховская;Level Южнопортовая
Level Group;developer;https://www.cian.ru/sale/flat/315281380/;Москва;sale;flat;14;49;2;49.4;;Печатники;Южнопортовая ;28АС17;Кожуховская;Level Южнопортовая
Наталья Тен;realtor;https://www.cian.ru/sale/flat/315281292/;Москва;sale;flat;18;20;2;69.9;23200000;Богородское;Ивантеевская ;5к1;Бульвар Рокоссовского;
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/315281237/;Москва;sale;flat;15;29;2;74.9;36000000;Раменки; Василия Ланового;5;Аминьевская;Событие
Екатерина Шилова;realtor;https://www.cian.ru/sale/flat/315281221/;Москва;sale;flat;10;14;1;38.0;12499000;Люблино;Краснодонская ;21К1;Люблино;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315281118/;Москва;sale;flat;2;14;2;55.3;21900000;Академический;Новочеремушкинская ;8;Академическая;
ID 88837878;realtor;https://www.cian.ru/sale/flat/315280072/;Москва;sale;flat;19;24;1;40.0;22000000;Проспект Вернадского;проспект Вернадского;63;Проспект Вернадского;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315279978/;Москва;sale;flat;14;31;1;36.4;22000000;Филевский парк;Береговой проезд;5к1;Фили;Фили Град
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/315279976/;Москва;sale;flat;8;15;1;33.18;9639999;; Василия Ощепкова;2;Новомосковская;Москвичка
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/315279861/;Москва;sale;flat;48;69;1;38.4;15490000;Печатники;;3;Кожуховская;Левел Южнопортовая ЖК
Покупатель;real_estate_agent;https://www.cian.ru/sale/flat/315279496/;Москва;sale;flat;5;22;1;41.1;13800000;Люблино;Совхозная ;10А;Люблино;
Анна Белова;realtor;https://www.cian.ru/sale/flat/315279186/;Москва;sale;flat;14;27;1;32.5;13600000;Нижегородский;Перовское шоссе;2к3;Нижегородская;Перовское 2
Светлана Юдинцева;realtor;https://www.cian.ru/sale/flat/315278973/;Москва;sale;flat;1;19;1;38.4;11500000;Марьино;Донецкая ;34к3;Курьяново;Домашний
Алексей Шебалов;realtor;https://www.cian.ru/sale/flat/315278874/;Москва;sale;flat;4;19;2;51.0;12300000;Некрасовка; Липчанского;8;Некрасовка;Некрасовка
ID 47475735;homeowner;https://www.cian.ru/sale/flat/315278653/;Москва;sale;flat;10;25;1;39.0;11300000;Некрасовка;Рождественская ;33;Некрасовка;Некрасовка
Квартирное бюро 24;real_estate_agent;https://www.cian.ru/sale/flat/315278595/;Москва;sale;flat;26;26;2;40.2;14900000;Чертаново Южное;Варшавское шоссе;170Ек1;Лесопарковая;Зеленая Вертикаль
Лариса Маргиева;realtor;https://www.cian.ru/sale/flat/315278591/;Москва;sale;flat;4;18;2;61.0;21000000;Зюзино;Симферопольский бульвар;24к4;Чертановская;
ID 95979969;homeowner;https://www.cian.ru/sale/flat/315278562/;Москва;sale;flat;14;19;1;45.9;10950000;Северный;Дмитровское шоссе;169К8;Физтех;На Дмитровском 169
VILLA PRESTIGE;real_estate_agent;https://www.cian.ru/sale/flat/315277259/;Москва;sale;flat;13;25;2;70.0;52900000;Раменки; Янковского;1к2;Аминьевская;Событие
ID 31566;unknown;https://www.cian.ru/sale/flat/315276889/;Москва;sale;flat;8;17;1;36.6;10200000;Братеево; Борисовские Пруды;8К1;Борисово;
ID 12959801;realtor;https://www.cian.ru/sale/flat/315276289/;Москва;sale;flat;16;18;1;48.5;14500000;Гольяново;Байкальская ;18К2;Щёлковская;
Илья Дринкин;realtor;https://www.cian.ru/sale/flat/315275584/;Москва;sale;flat;18;44;2;58.0;51500000;Раменки;Минская ;2;Минская;Долина Сетунь
Level Group;developer;https://www.cian.ru/sale/flat/315273490/;Москва;sale;flat;2;19;2;42.2;;Академический;Профсоюзная ;2/22;Академическая;Level Академическая
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/315273305/;Москва;sale;flat;23;27;2;74.3;38983200;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Самолет Плюс-Тропарево;real_estate_agent;https://www.cian.ru/sale/flat/315272927/;Москва;sale;flat;15;18;1;32.3;13400000;Солнцево;Производственная ;вл15;Солнцево;Лучи
Михаил Ивакин;realtor;https://www.cian.ru/sale/flat/315272618/;Москва;sale;flat;17;17;1;34.7;12000000;Люблино;Цимлянская ;3к2;Люблино;
THE ONE;real_estate_agent;https://www.cian.ru/sale/flat/315270948/;Москва;sale;flat;3;21;2;74.5;49000000;Пресненский;к2.1;к2.1;Белорусская;Репаблик ЖК
Группа Родина;developer;https://www.cian.ru/sale/flat/315270942/;Москва;sale;flat;15;31;2;37.3;14647000;Ново-Переделкино;шоссе Боровское (дублер);;Новопеределкино;РОДИНА ПЕРЕДЕЛКИНО
Владис;real_estate_agent;https://www.cian.ru/sale/flat/315270879/;Москва;sale;flat;15;15;1;39.5;9490000;; Василия Ощепкова;3;Новомосковская;Москвичка
ID 103466348;real_estate_agent;https://www.cian.ru/sale/flat/315270854/;Москва;sale;flat;7;9;2;64.0;14500000;;бульвар Скандинавский;17;Потапово;Скандинавия
ID 57800379;homeowner;https://www.cian.ru/sale/flat/315270139/;Москва;sale;flat;11;25;1;40.7;14100000;; Саларьевская;14к3;Саларьево;Саларьево парк
Новая Высота;real_estate_agent;https://www.cian.ru/sale/flat/315270137/;Москва;sale;flat;3;24;2;58.5;26500000;Филевский парк;Промышленный проезд;4;Фили;
Бест на Речном;real_estate_agent;https://www.cian.ru/sale/flat/315269795/;Москва;sale;flat;6;17;2;51.0;20000000;Митино;Дубравная ;35;Митино;
ИНКОМ-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315269211/;Москва;sale;flat;5;22;2;59.0;20600000;Обручевский; Новаторов;38К4;Новаторская;
RealtyArt;real_estate_agent;https://www.cian.ru/sale/flat/315267862/;Москва;sale;flat;39;59;2;66.5;35100000;Тимирязевский;Дмитровский проезд;1;Дмитровская;D1
ID 55198992;unknown;https://www.cian.ru/sale/flat/315267652/;Москва;sale;flat;6;13;1;38.0;20500000;Покровское-Стрешнево;Волоколамское шоссе;71к2;Спартак;Город на Реке Тушино-2018
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/315267216/;Москва;sale;flat;3;12;2;62.0;27800000;Москворечье-Сабурово;переулок 1-й Котляковский;2Ак3;Варшавская;LIFE Варшавская
MR Group;developer;https://www.cian.ru/sale/flat/315266029/;Москва;sale;flat;20;23;2;56.16;39267072;Алексеевский;проспект Мира;186АС1;Улица Сергея Эйзенштейна;Дом премиум-класса MИRA
Павел Топалов;realtor;https://www.cian.ru/sale/flat/315265337/;Москва;sale;flat;7;17;1;37.0;14600000;Левобережный;Беломорская ;20к3;Беломорская;
ID 129075210;homeowner;https://www.cian.ru/sale/flat/315265169/;Москва;sale;flat;6;17;2;68.6;28000000;Богородское;4-я Гражданская ;36;Бульвар Рокоссовского;
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/315265090/;Москва;sale;flat;7;16;1;34.6;9300000;Можайский; Горбунова;17к2;Сетунь;
МИЭЛЬ;real_estate_agent;https://www.cian.ru/sale/flat/315264486/;Москва;sale;flat;2;17;1;43.9;14900000;Черемушки;Новочеремушкинская ;50;Новые Черёмушки;
ATRIUM;real_estate_agent;https://www.cian.ru/sale/flat/315264436/;Москва;sale;flat;14;25;1;42.0;16600000;Митино;Митинская ;28к3;Митино;Life-Митинская Ecopark
МИЦ-Столичный ипотечный центр недвижимости;real_estate_agent;https://www.cian.ru/sale/flat/315264109/;Москва;sale;flat;12;13;1;41.6;33500000;Беговой;Ленинградский проспект;29к4;Динамо;Царская площадь
ID 129075383;homeowner;https://www.cian.ru/sale/flat/315264051/;Москва;sale;flat;4;16;2;56.2;13500000;Ново-Переделкино; Шолохова;30;Новопеределкино;
Станислав  Леонов;realtor;https://www.cian.ru/sale/flat/315262972/;Москва;sale;flat;2;20;2;79.0;28750000;Лефортово;проезд Невельского;1к2;Авиамоторная;Символ
Галина Гребнева;realtor;https://www.cian.ru/sale/flat/315262354/;Москва;sale;flat;38;54;2;39.7;22500000;Очаково-Матвеевское;;к1;Мичуринский проспект;Левел Мичуринский ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/315262242/;Москва;sale;flat;28;29;2;53.6;45000000;Якиманка;Мытная ;40к4;Серпуховская;Sky House
ID 44994873;real_estate_agent;https://www.cian.ru/sale/flat/315261931/;Москва;sale;flat;15;23;1;41.0;23200000;Свиблово;Сельскохозяйственная ;38к2;Ботанический сад;LIFE-Ботанический сад
ID 10216192;homeowner;https://www.cian.ru/sale/flat/315261834/;Москва;sale;flat;7;15;1;37.9;9800000;Южное Бутово;Изюмская ;49к3;Бутово;
ИНФИНИТИ;real_estate_agent;https://www.cian.ru/sale/flat/315261017/;Москва;sale;flat;1;9;1;35.0;9600000;Южное Бутово;Бартеневская ;23К1;Бульвар Адмирала Ушакова;
ID 61178737;homeowner;https://www.cian.ru/sale/flat/315260491/;Москва;sale;flat;12;16;2;63.5;28000000;Покровское-Стрешнево;бульвар Небесный;1к1;Спартак;ÁLIA
Ольга Морозова;realtor;https://www.cian.ru/sale/flat/315260046/;Москва;sale;flat;6;18;1;40.0;14000000;Рязанский; Михайлова;30Ак1;Плющево;Михайловский парк
